Over	O
time	O
","	O
the	O
number	O
of	O
large	O
projects	O
decreases	O
","	O
and	O
more	O
researchers	O
with	O
relatively	O
balanced	O
funding	O
are	O
involved	O
.	O
	
In	O
the	O
general	O
study	O
","	O
it	O
was	O
observed	O
that	O
the	O
greater	O
the	O
impact	O
","	O
the	O
greater	O
the	O
difference	O
that	O
other	O
countries	O
tended	O
to	O
make	O
of	O
the	O
collaborations	O
relative	O
to	O
the	O
production	O
.	O
	
CPP/FCSm	O
is	O
extensively	O
used	O
in	O
practice	O
and	O
is	O
often	O
called	O
※	O
crown	O
indicator	O
§	O
by	O
CWTS	O
(	O
Centre	O
for	O
Science	O
and	O
Technology	O
Studies	O
","	O
Leiden	O
University	O
)	O
.	O
	
Besides	O
","	O
since	O
the	O
Web	O
of	O
Science	O
has	O
been	O
renamed	O
Web	O
of	O
Science	O
Core	O
Collection	O
and	O
the	O
Web	O
of	O
Science	O
has	O
been	O
set	O
as	O
a	O
platform	O
","	O
▽	O
footnote	O
7	O
▼	O
it	O
is	O
necessary	O
for	O
users	O
to	O
distinguish	O
between	O
them	O
as	O
is	O
also	O
suggested	O
by	O
the	O
referee	O
.	O
	
Vertices	O
are	O
labeled	O
by	O
the	O
surnames	O
of	O
first	O
authors	O
and	O
the	O
last	O
two	O
digitals	O
of	O
publication	O
years	O
(	O
e.g.	O
","	O
three	O
publications	O
by	O
Egghe	O
in	O
2009	O
denoted	O
by	O
Egghe_09	O
","	O
#Egghe_09	O
and	O
2	O
#Egghe_09	O
","	O
respectively	O
)	O
.	O
	
Are	O
claims	O
and	O
content	O
all	O
that	O
matters	O
?	O
	
This	O
can	O
therefore	O
discourage	O
students	O
from	O
wanting	O
to	O
collaborate	O
with	O
mentors	O
.	O
	
We	O
will	O
use	O
the	O
abbreviation	O
※	O
Hazen	O
percentile	O
§	O
for	O
these	O
percentiles	O
in	O
the	O
following	O
.	O
	
There	O
is	O
a	O
dramatic	O
decrease	O
in	O
referencing	O
papers	O
published	O
in	O
the	O
latest	O
10	O
years	O
","	O
while	O
there	O
is	O
a	O
gradual	O
rising	O
trend	O
for	O
referencing	O
ones	O
published	O
beyond	O
10	O
years.Annual	O
number	O
of	O
papers	O
cited	O
from	O
1930	O
to	O
2012	O
.	O
	
Because	O
of	O
the	O
great	O
overlap	O
between	O
quantitative	O
methods	O
and	O
empirical	O
articles	O
","	O
the	O
descriptive	O
statistics	O
are	O
fairly	O
similar	O
and	O
will	O
not	O
be	O
included	O
in	O
a	O
regression	O
model.The	O
evolution	O
of	O
co-authorship	O
in	O
Economics	O
▽	O
Fig.	O
4	O
▼	O
	
Finally	O
","	O
both	O
combining	O
results	O
provide	O
a	O
clear	O
demonstration	O
of	O
the	O
trajectory	O
analysis	O
of	O
the	O
research	O
trend	O
in	O
automobile	O
fuel	O
.	O
	
Scopus	O
and	O
WoS	O
(	O
Web	O
of	O
Science	O
)	O
are	O
two	O
comprehensive	O
literature	O
databases	O
that	O
feature	O
a	O
wide	O
range	O
of	O
subjects	O
and	O
a	O
high	O
number	O
of	O
journal	O
types	O
that	O
enable	O
users	O
to	O
search	O
for	O
editorials	O
as	O
a	O
specific	O
document	O
type	O
.	O
	
The	O
shapes	O
of	O
the	O
citation	O
counts	O
and	O
shares	O
were	O
inspected	O
using	O
a	O
tableau	O
of	O
graphs	O
similar	O
to	O
the	O
one	O
shown	O
in	O
Fig.	O
1	O
for	O
the	O
pair	O
Economics	O
citing	O
Physics	O
","	O
Fluids	O
and	O
Plasmas	O
.	O
	
Although	O
the	O
result	O
for	O
academic	O
institutions	O
is	O
fairly	O
consistent	O
with	O
Lotka	O
＊s	O
law	O
","	O
▽	O
footnote	O
5	O
▼	O
the	O
percentage	O
of	O
scholars	O
contributing	O
only	O
once	O
is	O
quite	O
higher	O
than	O
expected	O
.	O
	
Many	O
papers	O
date	O
back	O
to	O
the	O
1990s	O
.	O
	
Apart	O
from	O
the	O
expected	O
words	O
(	O
＆	O
women	O
＊	O
and	O
＆	O
gender	O
＊	O
)	O
there	O
are	O
two	O
important	O
concepts	O
＆	O
peace	O
＊	O
and	O
＆	O
war	O
＊	O
highlighting	O
that	O
the	O
articles	O
analyze	O
women	O
on	O
peace	O
and	O
war	O
situations	O
.	O
	
Generally	O
speaking	O
","	O
the	O
pure	O
processing	O
time	O
of	O
single	O
patent	O
has	O
been	O
decreasing	O
.	O
	
His	O
immediate	O
advisees	O
became	O
the	O
supervisors	O
of	O
other	O
counselors	O
.	O
	
Given	O
recent	O
calls	O
for	O
more	O
ecological	O
innovation	O
policies	O
and	O
research	O
funding	O
that	O
set	O
frameworks	O
for	O
EV	O
adoption	O
and	O
promote	O
charging	O
infrastructure	O
development	O
","	O
such	O
as	O
the	O
BMBF	O
ICT	O
2020	O
〞	O
eNOVA	O
▽	O
footnote	O
1	O
▼	O
that	O
received	O
100	O
million	O
euros	O
for	O
energy	O
management	O
research	O
","	O
there	O
is	O
clearly	O
a	O
considerable	O
amount	O
of	O
ongoing	O
work	O
in	O
the	O
field	O
of	O
bridging	O
research	O
and	O
innovation	O
on	O
EVs	O
.	O
	
As	O
an	O
emerging	O
country	O
","	O
it	O
is	O
hard	O
to	O
compete	O
with	O
the	O
developed	O
ones	O
in	O
more	O
mature	O
and	O
traditional	O
industries	O
for	O
China	O
","	O
whilst	O
there	O
are	O
more	O
opportunities	O
in	O
the	O
emerging	O
industries	O
","	O
such	O
as	O
the	O
information	O
and	O
communication	O
technology	O
(	O
ICT	O
)	O
in	O
the	O
past	O
20	O
years	O
and	O
the	O
biotechnology	O
in	O
future	O
.	O
	
Like	O
many	O
such	O
databases	O
the	O
Web	O
of	O
Science	O
does	O
not	O
index	O
all	O
journals	O
","	O
particularly	O
those	O
that	O
do	O
not	O
rely	O
on	O
